BioProject	SRR_ID	sample_alias	group	class	condition	condition_original	condition_raw	srr_description	binary_split	exclude	in_prev_loso	prev_loso_ref	prev_loso_contrast	n_in_orig_condition	is_singleton	has_local_counts	organism	library_layout	annotation_status	annotation_confidence	annotation_basis	annotation_notes	source_url	manuscript_url
PRJNA1014965	SRR26033670	MEC_N_10	1	control	control	normal	Normal	MEC_N_10 | RNA-Seq of mucoepidermoid carcinoma	technical_control_vs_treatment		yes	normal	tumor vs normal	20	no	yes	Homo sapiens	PAIRED	technical_binary_standardized	deterministic	reviewed source conditions partitioned into two technical classes	Primary group/class/condition are standardized technical labels. The prior reviewed biological annotation is retained in *_reviewed_previous columns.	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1014965	https://pmc.ncbi.nlm.nih.gov/articles/PMC10799913/
PRJNA1014965	SRR26033671	MEC_N_09	1	control	control	normal	Normal	MEC_N_09 | RNA-Seq of mucoepidermoid carcinoma	technical_control_vs_treatment		yes	normal	tumor vs normal	20	no	yes	Homo sapiens	PAIRED	technical_binary_standardized	deterministic	reviewed source conditions partitioned into two technical classes	Primary group/class/condition are standardized technical labels. The prior reviewed biological annotation is retained in *_reviewed_previous columns.	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1014965	https://pmc.ncbi.nlm.nih.gov/articles/PMC10799913/
PRJNA1014965	SRR26033672	MEC_N_08	1	control	control	normal	Normal	MEC_N_08 | RNA-Seq of mucoepidermoid carcinoma	technical_control_vs_treatment		yes	normal	tumor vs normal	20	no	yes	Homo sapiens	PAIRED	technical_binary_standardized	deterministic	reviewed source conditions partitioned into two technical classes	Primary group/class/condition are standardized technical labels. The prior reviewed biological annotation is retained in *_reviewed_previous columns.	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1014965	https://pmc.ncbi.nlm.nih.gov/articles/PMC10799913/
PRJNA1014965	SRR26033673	MEC_N_07	1	control	control	normal	Normal	MEC_N_07 | RNA-Seq of mucoepidermoid carcinoma	technical_control_vs_treatment		yes	normal	tumor vs normal	20	no	yes	Homo sapiens	PAIRED	technical_binary_standardized	deterministic	reviewed source conditions partitioned into two technical classes	Primary group/class/condition are standardized technical labels. The prior reviewed biological annotation is retained in *_reviewed_previous columns.	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1014965	https://pmc.ncbi.nlm.nih.gov/articles/PMC10799913/
PRJNA1014965	SRR26033674	MEC_N_06	1	control	control	normal	Normal	MEC_N_06 | RNA-Seq of mucoepidermoid carcinoma	technical_control_vs_treatment		yes	normal	tumor vs normal	20	no	yes	Homo sapiens	PAIRED	technical_binary_standardized	deterministic	reviewed source conditions partitioned into two technical classes	Primary group/class/condition are standardized technical labels. The prior reviewed biological annotation is retained in *_reviewed_previous columns.	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1014965	https://pmc.ncbi.nlm.nih.gov/articles/PMC10799913/
PRJNA1014965	SRR26033675	MEC_N_05	1	control	control	normal	Normal	MEC_N_05 | RNA-Seq of mucoepidermoid carcinoma	technical_control_vs_treatment		yes	normal	tumor vs normal	20	no	yes	Homo sapiens	PAIRED	technical_binary_standardized	deterministic	reviewed source conditions partitioned into two technical classes	Primary group/class/condition are standardized technical labels. The prior reviewed biological annotation is retained in *_reviewed_previous columns.	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1014965	https://pmc.ncbi.nlm.nih.gov/articles/PMC10799913/
PRJNA1014965	SRR26033676	MEC_N_04	1	control	control	normal	Normal	MEC_N_04 | RNA-Seq of mucoepidermoid carcinoma	technical_control_vs_treatment		yes	normal	tumor vs normal	20	no	yes	Homo sapiens	PAIRED	technical_binary_standardized	deterministic	reviewed source conditions partitioned into two technical classes	Primary group/class/condition are standardized technical labels. The prior reviewed biological annotation is retained in *_reviewed_previous columns.	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1014965	https://pmc.ncbi.nlm.nih.gov/articles/PMC10799913/
PRJNA1014965	SRR26033677	MEC_N_03	1	control	control	normal	Normal	MEC_N_03 | RNA-Seq of mucoepidermoid carcinoma	technical_control_vs_treatment		yes	normal	tumor vs normal	20	no	yes	Homo sapiens	PAIRED	technical_binary_standardized	deterministic	reviewed source conditions partitioned into two technical classes	Primary group/class/condition are standardized technical labels. The prior reviewed biological annotation is retained in *_reviewed_previous columns.	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1014965	https://pmc.ncbi.nlm.nih.gov/articles/PMC10799913/
PRJNA1014965	SRR26033678	MEC_N_02	1	control	control	normal	Normal	MEC_N_02 | RNA-Seq of mucoepidermoid carcinoma	technical_control_vs_treatment		yes	normal	tumor vs normal	20	no	yes	Homo sapiens	PAIRED	technical_binary_standardized	deterministic	reviewed source conditions partitioned into two technical classes	Primary group/class/condition are standardized technical labels. The prior reviewed biological annotation is retained in *_reviewed_previous columns.	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1014965	https://pmc.ncbi.nlm.nih.gov/articles/PMC10799913/
PRJNA1014965	SRR26033679	MEC_N_01	1	control	control	normal	Normal	MEC_N_01 | RNA-Seq of mucoepidermoid carcinoma	technical_control_vs_treatment		yes	normal	tumor vs normal	20	no	yes	Homo sapiens	PAIRED	technical_binary_standardized	deterministic	reviewed source conditions partitioned into two technical classes	Primary group/class/condition are standardized technical labels. The prior reviewed biological annotation is retained in *_reviewed_previous columns.	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1014965	https://pmc.ncbi.nlm.nih.gov/articles/PMC10799913/
PRJNA1014965	SRR26033653	MEC_T_10	1	treatment	treatment	tumor	Tumor	MEC_T_10 | RNA-Seq of mucoepidermoid carcinoma	technical_control_vs_treatment		yes	normal	tumor vs normal	17	no	yes	Homo sapiens	PAIRED	technical_binary_standardized	deterministic	reviewed source conditions partitioned into two technical classes	Primary group/class/condition are standardized technical labels. The prior reviewed biological annotation is retained in *_reviewed_previous columns.	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1014965	https://pmc.ncbi.nlm.nih.gov/articles/PMC10799913/
PRJNA1014965	SRR26033654	MEC_T_09	1	treatment	treatment	tumor	Tumor	MEC_T_09 | RNA-Seq of mucoepidermoid carcinoma	technical_control_vs_treatment		yes	normal	tumor vs normal	17	no	yes	Homo sapiens	PAIRED	technical_binary_standardized	deterministic	reviewed source conditions partitioned into two technical classes	Primary group/class/condition are standardized technical labels. The prior reviewed biological annotation is retained in *_reviewed_previous columns.	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1014965	https://pmc.ncbi.nlm.nih.gov/articles/PMC10799913/
PRJNA1014965	SRR26033655	MEC_T_08	1	treatment	treatment	tumor	Tumor	MEC_T_08 | RNA-Seq of mucoepidermoid carcinoma	technical_control_vs_treatment		yes	normal	tumor vs normal	17	no	yes	Homo sapiens	PAIRED	technical_binary_standardized	deterministic	reviewed source conditions partitioned into two technical classes	Primary group/class/condition are standardized technical labels. The prior reviewed biological annotation is retained in *_reviewed_previous columns.	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1014965	https://pmc.ncbi.nlm.nih.gov/articles/PMC10799913/
PRJNA1014965	SRR26033656	MEC_T_07	1	treatment	treatment	tumor	Tumor	MEC_T_07 | RNA-Seq of mucoepidermoid carcinoma	technical_control_vs_treatment		yes	normal	tumor vs normal	17	no	yes	Homo sapiens	PAIRED	technical_binary_standardized	deterministic	reviewed source conditions partitioned into two technical classes	Primary group/class/condition are standardized technical labels. The prior reviewed biological annotation is retained in *_reviewed_previous columns.	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1014965	https://pmc.ncbi.nlm.nih.gov/articles/PMC10799913/
PRJNA1014965	SRR26033657	MEC_T_06	1	treatment	treatment	tumor	Tumor	MEC_T_06 | RNA-Seq of mucoepidermoid carcinoma	technical_control_vs_treatment		yes	normal	tumor vs normal	17	no	yes	Homo sapiens	PAIRED	technical_binary_standardized	deterministic	reviewed source conditions partitioned into two technical classes	Primary group/class/condition are standardized technical labels. The prior reviewed biological annotation is retained in *_reviewed_previous columns.	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1014965	https://pmc.ncbi.nlm.nih.gov/articles/PMC10799913/
PRJNA1014965	SRR26033658	MEC_T_05	1	treatment	treatment	tumor	Tumor	MEC_T_05 | RNA-Seq of mucoepidermoid carcinoma	technical_control_vs_treatment		yes	normal	tumor vs normal	17	no	yes	Homo sapiens	PAIRED	technical_binary_standardized	deterministic	reviewed source conditions partitioned into two technical classes	Primary group/class/condition are standardized technical labels. The prior reviewed biological annotation is retained in *_reviewed_previous columns.	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1014965	https://pmc.ncbi.nlm.nih.gov/articles/PMC10799913/
PRJNA1014965	SRR26033669	MEC_T_04	1	treatment	treatment	tumor	Tumor	MEC_T_04 | RNA-Seq of mucoepidermoid carcinoma	technical_control_vs_treatment		yes	normal	tumor vs normal	17	no	yes	Homo sapiens	PAIRED	technical_binary_standardized	deterministic	reviewed source conditions partitioned into two technical classes	Primary group/class/condition are standardized technical labels. The prior reviewed biological annotation is retained in *_reviewed_previous columns.	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1014965	https://pmc.ncbi.nlm.nih.gov/articles/PMC10799913/
PRJNA1014965	SRR26033680	MEC_T_03	1	treatment	treatment	tumor	Tumor	MEC_T_03 | RNA-Seq of mucoepidermoid carcinoma	technical_control_vs_treatment		yes	normal	tumor vs normal	17	no	yes	Homo sapiens	PAIRED	technical_binary_standardized	deterministic	reviewed source conditions partitioned into two technical classes	Primary group/class/condition are standardized technical labels. The prior reviewed biological annotation is retained in *_reviewed_previous columns.	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1014965	https://pmc.ncbi.nlm.nih.gov/articles/PMC10799913/
PRJNA1014965	SRR26033681	MEC_T_20	1	treatment	treatment	tumor	Tumor	MEC_T_20 | RNA-Seq of mucoepidermoid carcinoma	technical_control_vs_treatment		yes	normal	tumor vs normal	17	no	yes	Homo sapiens	PAIRED	technical_binary_standardized	deterministic	reviewed source conditions partitioned into two technical classes	Primary group/class/condition are standardized technical labels. The prior reviewed biological annotation is retained in *_reviewed_previous columns.	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1014965	https://pmc.ncbi.nlm.nih.gov/articles/PMC10799913/
PRJNA1014965	SRR26033683	MEC_T_18	1	treatment	treatment	tumor	Tumor	MEC_T_18 | RNA-Seq of mucoepidermoid carcinoma	technical_control_vs_treatment		yes	normal	tumor vs normal	17	no	yes	Homo sapiens	PAIRED	technical_binary_standardized	deterministic	reviewed source conditions partitioned into two technical classes	Primary group/class/condition are standardized technical labels. The prior reviewed biological annotation is retained in *_reviewed_previous columns.	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1014965	https://pmc.ncbi.nlm.nih.gov/articles/PMC10799913/
PRJNA1014965	SRR26033685	MEC_T_16	1	treatment	treatment	tumor	Tumor	MEC_T_16 | RNA-Seq of mucoepidermoid carcinoma	technical_control_vs_treatment		yes	normal	tumor vs normal	17	no	yes	Homo sapiens	PAIRED	technical_binary_standardized	deterministic	reviewed source conditions partitioned into two technical classes	Primary group/class/condition are standardized technical labels. The prior reviewed biological annotation is retained in *_reviewed_previous columns.	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1014965	https://pmc.ncbi.nlm.nih.gov/articles/PMC10799913/
PRJNA1014965	SRR26033687	MEC_T_14	1	treatment	treatment	tumor	Tumor	MEC_T_14 | RNA-Seq of mucoepidermoid carcinoma	technical_control_vs_treatment		yes	normal	tumor vs normal	17	no	yes	Homo sapiens	PAIRED	technical_binary_standardized	deterministic	reviewed source conditions partitioned into two technical classes	Primary group/class/condition are standardized technical labels. The prior reviewed biological annotation is retained in *_reviewed_previous columns.	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1014965	https://pmc.ncbi.nlm.nih.gov/articles/PMC10799913/
PRJNA1014965	SRR26033688	MEC_T_13	1	treatment	treatment	tumor	Tumor	MEC_T_13 | RNA-Seq of mucoepidermoid carcinoma	technical_control_vs_treatment		yes	normal	tumor vs normal	17	no	yes	Homo sapiens	PAIRED	technical_binary_standardized	deterministic	reviewed source conditions partitioned into two technical classes	Primary group/class/condition are standardized technical labels. The prior reviewed biological annotation is retained in *_reviewed_previous columns.	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1014965	https://pmc.ncbi.nlm.nih.gov/articles/PMC10799913/
PRJNA1014965	SRR26033689	MEC_T_12	1	treatment	treatment	tumor	Tumor	MEC_T_12 | RNA-Seq of mucoepidermoid carcinoma	technical_control_vs_treatment		yes	normal	tumor vs normal	17	no	yes	Homo sapiens	PAIRED	technical_binary_standardized	deterministic	reviewed source conditions partitioned into two technical classes	Primary group/class/condition are standardized technical labels. The prior reviewed biological annotation is retained in *_reviewed_previous columns.	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1014965	https://pmc.ncbi.nlm.nih.gov/articles/PMC10799913/
PRJNA1014965	SRR26033690	MEC_T_11	1	treatment	treatment	tumor	Tumor	MEC_T_11 | RNA-Seq of mucoepidermoid carcinoma	technical_control_vs_treatment		yes	normal	tumor vs normal	17	no	yes	Homo sapiens	PAIRED	technical_binary_standardized	deterministic	reviewed source conditions partitioned into two technical classes	Primary group/class/condition are standardized technical labels. The prior reviewed biological annotation is retained in *_reviewed_previous columns.	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1014965	https://pmc.ncbi.nlm.nih.gov/articles/PMC10799913/
PRJNA1014965	SRR26033691	MEC_T_02	1	treatment	treatment	tumor	Tumor	MEC_T_02 | RNA-Seq of mucoepidermoid carcinoma	technical_control_vs_treatment		yes	normal	tumor vs normal	17	no	yes	Homo sapiens	PAIRED	technical_binary_standardized	deterministic	reviewed source conditions partitioned into two technical classes	Primary group/class/condition are standardized technical labels. The prior reviewed biological annotation is retained in *_reviewed_previous columns.	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1014965	https://pmc.ncbi.nlm.nih.gov/articles/PMC10799913/
PRJNA1014965	SRR26033692	MEC_T_01	1	treatment	treatment	tumor	Tumor	MEC_T_01 | RNA-Seq of mucoepidermoid carcinoma	technical_control_vs_treatment		yes	normal	tumor vs normal	17	no	yes	Homo sapiens	PAIRED	technical_binary_standardized	deterministic	reviewed source conditions partitioned into two technical classes	Primary group/class/condition are standardized technical labels. The prior reviewed biological annotation is retained in *_reviewed_previous columns.	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1014965	https://pmc.ncbi.nlm.nih.gov/articles/PMC10799913/
PRJNA1105191	SRR28819928	DMS53_R1	1	control	control	dms53	DMS53	DMS53_R1	technical_control_vs_treatment		yes	dms53	dms53_sictrl vs dms53	3	no	yes	Homo sapiens	PAIRED	technical_binary_standardized	deterministic	reviewed source conditions partitioned into two technical classes	Primary group/class/condition are standardized technical labels. The prior reviewed biological annotation is retained in *_reviewed_previous columns.	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1105191	https://doi.org/10.1016/j.jtho.2024.03.023
PRJNA1105191	SRR28819932	IPSC_C6_R3	1	control	control	ipsc_c6	IPSC_C6	IPSC_C6_R3	technical_control_vs_treatment		yes	dms53	dms53_sictrl vs dms53	3	no	yes	Homo sapiens	PAIRED	technical_binary_standardized	deterministic	reviewed source conditions partitioned into two technical classes	Primary group/class/condition are standardized technical labels. The prior reviewed biological annotation is retained in *_reviewed_previous columns.	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1105191	https://doi.org/10.1016/j.jtho.2024.03.023
PRJNA1105191	SRR28819933	IPSC_C6_R2	1	control	control	ipsc_c6	IPSC_C6	IPSC_C6_R2	technical_control_vs_treatment		yes	dms53	dms53_sictrl vs dms53	3	no	yes	Homo sapiens	PAIRED	technical_binary_standardized	deterministic	reviewed source conditions partitioned into two technical classes	Primary group/class/condition are standardized technical labels. The prior reviewed biological annotation is retained in *_reviewed_previous columns.	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1105191	https://doi.org/10.1016/j.jtho.2024.03.023
PRJNA1105191	SRR28819937	IPSC_C6_R1	1	control	control	ipsc_c6	IPSC_C6	IPSC_C6_R1	technical_control_vs_treatment		yes	dms53	dms53_sictrl vs dms53	3	no	yes	Homo sapiens	PAIRED	technical_binary_standardized	deterministic	reviewed source conditions partitioned into two technical classes	Primary group/class/condition are standardized technical labels. The prior reviewed biological annotation is retained in *_reviewed_previous columns.	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1105191	https://doi.org/10.1016/j.jtho.2024.03.023
PRJNA1105191	SRR28819938	H841_siCtrl_R3	1	control	control	h841_sictrl	H841 siCtrl	H841_siCtrl_R3	technical_control_vs_treatment		yes	dms53	dms53_sictrl vs dms53	3	no	yes	Homo sapiens	PAIRED	technical_binary_standardized	deterministic	reviewed source conditions partitioned into two technical classes	Primary group/class/condition are standardized technical labels. The prior reviewed biological annotation is retained in *_reviewed_previous columns.	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1105191	https://doi.org/10.1016/j.jtho.2024.03.023
PRJNA1105191	SRR28819939	H841_siCtrl_R2	1	control	control	h841_sictrl	H841 siCtrl	H841_siCtrl_R2	technical_control_vs_treatment		yes	dms53	dms53_sictrl vs dms53	3	no	yes	Homo sapiens	PAIRED	technical_binary_standardized	deterministic	reviewed source conditions partitioned into two technical classes	Primary group/class/condition are standardized technical labels. The prior reviewed biological annotation is retained in *_reviewed_previous columns.	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1105191	https://doi.org/10.1016/j.jtho.2024.03.023
PRJNA1105191	SRR28819940	H841_siCtrl_R1	1	control	control	h841_sictrl	H841 siCtrl	H841_siCtrl_R1	technical_control_vs_treatment		yes	dms53	dms53_sictrl vs dms53	3	no	yes	Homo sapiens	PAIRED	technical_binary_standardized	deterministic	reviewed source conditions partitioned into two technical classes	Primary group/class/condition are standardized technical labels. The prior reviewed biological annotation is retained in *_reviewed_previous columns.	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1105191	https://doi.org/10.1016/j.jtho.2024.03.023
PRJNA1105191	SRR28819944	DMS53_siCtrl_R3	1	control	control	dms53_sictrl	DMS53 siCtrl	DMS53_siCtrl_R3	technical_control_vs_treatment		yes	dms53	dms53_sictrl vs dms53	3	no	yes	Homo sapiens	PAIRED	technical_binary_standardized	deterministic	reviewed source conditions partitioned into two technical classes	Primary group/class/condition are standardized technical labels. The prior reviewed biological annotation is retained in *_reviewed_previous columns.	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1105191	https://doi.org/10.1016/j.jtho.2024.03.023
PRJNA1105191	SRR28819945	DMS53_siCtrl_R2	1	control	control	dms53_sictrl	DMS53 siCtrl	DMS53_siCtrl_R2	technical_control_vs_treatment		yes	dms53	dms53_sictrl vs dms53	3	no	yes	Homo sapiens	PAIRED	technical_binary_standardized	deterministic	reviewed source conditions partitioned into two technical classes	Primary group/class/condition are standardized technical labels. The prior reviewed biological annotation is retained in *_reviewed_previous columns.	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1105191	https://doi.org/10.1016/j.jtho.2024.03.023
PRJNA1105191	SRR28819946	DMS53_siCtrl_R1	1	control	control	dms53_sictrl	DMS53 siCtrl	DMS53_siCtrl_R1	technical_control_vs_treatment		yes	dms53	dms53_sictrl vs dms53	3	no	yes	Homo sapiens	PAIRED	technical_binary_standardized	deterministic	reviewed source conditions partitioned into two technical classes	Primary group/class/condition are standardized technical labels. The prior reviewed biological annotation is retained in *_reviewed_previous columns.	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1105191	https://doi.org/10.1016/j.jtho.2024.03.023
PRJNA1105191	SRR28819948	SAEC_R3	1	control	control	saec	SAEC	SAEC_R3	technical_control_vs_treatment		yes	dms53	dms53_sictrl vs dms53	3	no	yes	Homo sapiens	PAIRED	technical_binary_standardized	deterministic	reviewed source conditions partitioned into two technical classes	Primary group/class/condition are standardized technical labels. The prior reviewed biological annotation is retained in *_reviewed_previous columns.	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1105191	https://doi.org/10.1016/j.jtho.2024.03.023
PRJNA1105191	SRR28819951	H69_R3	1	control	control	h69	H69	H69_R3	technical_control_vs_treatment		yes	dms53	dms53_sictrl vs dms53	3	no	yes	Homo sapiens	PAIRED	technical_binary_standardized	deterministic	reviewed source conditions partitioned into two technical classes	Primary group/class/condition are standardized technical labels. The prior reviewed biological annotation is retained in *_reviewed_previous columns.	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1105191	https://doi.org/10.1016/j.jtho.2024.03.023
PRJNA1105191	SRR28819952	H69_R2	1	control	control	h69	H69	H69_R2	technical_control_vs_treatment		yes	dms53	dms53_sictrl vs dms53	3	no	yes	Homo sapiens	PAIRED	technical_binary_standardized	deterministic	reviewed source conditions partitioned into two technical classes	Primary group/class/condition are standardized technical labels. The prior reviewed biological annotation is retained in *_reviewed_previous columns.	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1105191	https://doi.org/10.1016/j.jtho.2024.03.023
PRJNA1105191	SRR28819953	H69_R1	1	control	control	h69	H69	H69_R1	technical_control_vs_treatment		yes	dms53	dms53_sictrl vs dms53	3	no	yes	Homo sapiens	PAIRED	technical_binary_standardized	deterministic	reviewed source conditions partitioned into two technical classes	Primary group/class/condition are standardized technical labels. The prior reviewed biological annotation is retained in *_reviewed_previous columns.	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1105191	https://doi.org/10.1016/j.jtho.2024.03.023
PRJNA1105191	SRR28819957	DMS53_R3	1	control	control	dms53	DMS53	DMS53_R3	technical_control_vs_treatment		yes	dms53	dms53_sictrl vs dms53	3	no	yes	Homo sapiens	PAIRED	technical_binary_standardized	deterministic	reviewed source conditions partitioned into two technical classes	Primary group/class/condition are standardized technical labels. The prior reviewed biological annotation is retained in *_reviewed_previous columns.	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1105191	https://doi.org/10.1016/j.jtho.2024.03.023
