SRR_ID	project_id	baseline_method	U_rho_gene	U_jaccard_deg	U_rho_path	U_jaccard_path	U_dir_concordance	A_rho_gene	A_jaccard_deg	A_rho_path	A_jaccard_path	A_dir_concordance	P5_rho_gene	P5_jaccard_deg	P5_rho_path	P5_jaccard_path	P5_dir_concordance	P10_rho_gene	P10_jaccard_deg	P10_rho_path	P10_jaccard_path	P10_dir_concordance	P20_rho_gene	P20_jaccard_deg	P20_rho_path	P20_jaccard_path	P20_dir_concordance	P35_rho_gene	P35_jaccard_deg	P35_rho_path	P35_jaccard_path	P35_dir_concordance
SRR26033678	PRJNA1014965	U	0.989272	0.439039	0.830307	0.750000	1.000000	0.989221	0.439688	0.917399	0.888889	1.000000	0.989221	0.439688	0.860101	0.826087	1.000000	0.989222	0.439688	0.857493	0.847826	1.000000	0.989222	0.439688	0.862556	0.808511	1.000000	0.851471	0.349285	0.585795	0.219512	1.000000
SRR26033661	PRJNA1014965	U	0.988670	0.440518	0.878436	0.847826	1.000000	0.988689	0.441285	0.835374	0.866667	1.000000	0.988695	0.441100	0.856903	0.829787	1.000000	0.988695	0.441100	0.865053	0.826087	1.000000	0.988937	0.446994	0.865162	0.812500	1.000000	0.851952	0.348792	0.546227	0.238095	0.950000
SRR26033689	PRJNA1014965	U	0.990825	0.462773	0.890538	0.957447	1.000000	0.990915	0.463289	0.957238	0.937500	1.000000	0.990907	0.463482	0.837080	0.914894	1.000000	0.990893	0.463740	0.862844	0.936170	1.000000	0.990496	0.462416	0.905232	0.918367	1.000000	0.671420	0.135184	0.720749	0.416667	1.000000
SRR26033669	PRJNA1014965	U	0.989478	0.465537	0.910012	0.895833	1.000000	0.989476	0.466022	0.965426	0.895833	1.000000	0.989479	0.465957	0.900334	0.875000	1.000000	0.989503	0.466247	0.896684	0.875000	1.000000	0.989453	0.465693	0.898173	0.875000	1.000000	0.678489	0.136320	0.657686	0.404255	1.000000
SRR26033691	PRJNA1014965	U	0.992382	0.479877	0.882342	0.893617	1.000000	0.992343	0.479813	0.794763	0.851064	1.000000	0.992345	0.479946	0.926793	0.914894	1.000000	0.992344	0.479946	0.861143	0.872340	1.000000	0.992255	0.479909	0.940739	0.875000	1.000000	0.665710	0.131065	0.702058	0.404255	1.000000
SRR26033670	PRJNA1014965	U	0.980777	0.476739	0.872290	0.937500	1.000000	0.980815	0.477042	0.941919	0.937500	1.000000	0.980811	0.477110	0.922874	0.897959	1.000000	0.980811	0.477110	0.924706	0.938776	1.000000	0.980815	0.477110	0.817291	0.877551	1.000000	0.838996	0.304889	0.597309	0.224490	1.000000
SRR26033667	PRJNA1014965	U	0.969312	0.478422	0.836752	0.854167	1.000000	0.969585	0.479425	0.896951	0.937500	1.000000	0.969586	0.479043	0.946026	0.958333	1.000000	0.969589	0.479043	0.900591	0.895833	1.000000	0.969469	0.480734	0.890122	0.895833	1.000000	0.864163	0.293133	0.657061	0.250000	1.000000
SRR26033660	PRJNA1014965	U	0.986163	0.464281	0.885014	0.875000	1.000000	0.986221	0.464738	0.967923	0.958333	1.000000	0.986225	0.464803	0.867934	0.875000	1.000000	0.986225	0.464803	0.918744	0.956522	1.000000	0.986407	0.466693	0.896012	0.936170	1.000000	0.843682	0.322278	0.652554	0.217391	1.000000
SRR26033665	PRJNA1014965	U	0.987220	0.449633	0.854680	0.875000	1.000000	0.987222	0.449795	0.873986	0.875000	1.000000	0.987222	0.449766	0.871714	0.895833	1.000000	0.987222	0.449766	0.852663	0.875000	1.000000	0.987225	0.449703	0.920358	0.877551	1.000000	0.848478	0.343659	0.540316	0.166667	1.000000
SRR26033663	PRJNA1014965	U	0.988488	0.452711	0.855483	0.854167	1.000000	0.988507	0.453030	0.899150	0.891304	1.000000	0.988503	0.453128	0.815194	0.872340	1.000000	0.988503	0.453128	0.948711	0.851064	1.000000	0.988648	0.455066	0.815614	0.808511	1.000000	0.846230	0.332681	0.593789	0.181818	0.950000
SRR26033677	PRJNA1014965	U	0.989386	0.438779	0.916255	0.851064	1.000000	0.989246	0.439700	0.940840	0.869565	1.000000	0.989205	0.439666	0.895318	0.829787	1.000000	0.989206	0.439666	0.817675	0.804348	1.000000	0.989152	0.443707	0.906388	0.765957	1.000000	0.851739	0.347175	0.522265	0.219512	1.000000
SRR26033658	PRJNA1014965	U	0.991867	0.448776	0.858405	0.875000	1.000000	0.991679	0.448713	0.979448	0.897959	1.000000	0.991681	0.448776	0.958415	0.897959	1.000000	0.991647	0.448901	0.968691	0.877551	1.000000	0.991545	0.447013	0.970324	0.897959	1.000000	0.686615	0.146153	0.707340	0.416667	1.000000
SRR26033685	PRJNA1014965	U	0.991929	0.474081	0.833670	0.934783	1.000000	0.991914	0.473949	0.828596	0.891304	1.000000	0.991899	0.473750	0.821475	0.872340	1.000000	0.991908	0.473750	0.954478	0.937500	1.000000	0.991901	0.473750	0.874592	0.893617	1.000000	0.667446	0.132202	0.721614	0.382979	1.000000
SRR26033690	PRJNA1014965	U	0.989928	0.475008	0.879748	0.913043	1.000000	0.989897	0.474774	0.780257	0.826087	1.000000	0.989890	0.474774	0.788927	0.893617	1.000000	0.989881	0.474673	0.878596	0.913043	1.000000	0.989657	0.474935	0.927484	0.913043	1.000000	0.667707	0.133132	0.668636	0.400000	1.000000
SRR26033681	PRJNA1014965	U	0.983654	0.454771	0.901551	0.829787	1.000000	0.983626	0.455055	0.908017	0.833333	1.000000	0.983622	0.455119	0.818972	0.755102	1.000000	0.983620	0.455183	0.892987	0.812500	1.000000	0.983572	0.454789	0.939688	0.875000	1.000000	0.682951	0.133501	0.685207	0.282609	1.000000
SRR26033687	PRJNA1014965	U	0.991251	0.481826	0.886579	0.918367	1.000000	0.991245	0.481859	0.872094	0.895833	1.000000	0.991253	0.481994	0.903887	0.958333	1.000000	0.991239	0.482231	0.917783	0.877551	1.000000	0.991016	0.481551	0.973397	0.918367	1.000000	0.661681	0.131149	0.705738	0.437500	1.000000
SRR26033656	PRJNA1014965	U	0.990209	0.457695	0.662576	0.717391	1.000000	0.990174	0.457788	0.853452	0.808511	1.000000	0.990160	0.457823	0.772378	0.791667	1.000000	0.990158	0.457538	0.804648	0.808511	1.000000	0.989927	0.458014	0.825021	0.826087	1.000000	0.676730	0.139463	0.634405	0.395349	1.000000
SRR26033683	PRJNA1014965	U	0.978749	0.415013	0.777266	0.775510	1.000000	0.978688	0.414724	0.927971	0.854167	1.000000	0.978647	0.414955	0.885927	0.847826	1.000000	0.978646	0.414955	0.867467	0.833333	1.000000	0.978637	0.414897	0.932005	0.816327	1.000000	0.720586	0.145711	0.690389	0.541667	1.000000
SRR26033659	PRJNA1014965	U	0.971595	0.458627	0.722190	0.916667	1.000000	0.971611	0.459483	0.906432	0.937500	1.000000	0.971628	0.459614	0.928739	0.958333	1.000000	0.971625	0.459675	0.890410	0.937500	1.000000	0.971619	0.459609	0.938055	0.958333	1.000000	0.849079	0.301256	0.446908	0.285714	0.950000
SRR26033662	PRJNA1014965	U	0.988781	0.453082	0.838352	0.791667	1.000000	0.988798	0.452666	0.871762	0.829787	1.000000	0.988795	0.452793	0.915582	0.833333	1.000000	0.988795	0.452793	0.904944	0.812500	1.000000	0.988798	0.452793	0.943552	0.851064	1.000000	0.845234	0.337193	0.524972	0.186047	1.000000
SRR26033657	PRJNA1014965	U	0.993115	0.479526	0.916901	0.916667	1.000000	0.993111	0.479259	0.887512	0.916667	1.000000	0.993118	0.479326	0.920550	0.936170	1.000000	0.993114	0.479157	0.857692	0.916667	1.000000	0.992870	0.478450	0.903983	0.936170	1.000000	0.664077	0.131814	0.707013	0.354167	1.000000
SRR26033654	PRJNA1014965	U	0.989833	0.449578	0.890079	0.840000	1.000000	0.989380	0.449347	0.928330	0.860000	1.000000	0.989365	0.449216	0.933516	0.880000	1.000000	0.989393	0.449437	0.884460	0.860000	1.000000	0.989230	0.445813	0.883323	0.840000	1.000000	0.686745	0.145735	0.694295	0.458333	1.000000
SRR26033666	PRJNA1014965	U	0.982005	0.453685	0.893291	0.877551	1.000000	0.981984	0.454040	0.909052	0.918367	1.000000	0.981973	0.453848	0.960455	0.897959	1.000000	0.981973	0.453848	0.905476	0.895833	1.000000	0.981972	0.453848	0.947755	0.959184	1.000000	0.856692	0.336158	0.511847	0.270833	1.000000
SRR26033692	PRJNA1014965	U	0.992937	0.476475	0.841269	0.872340	1.000000	0.992907	0.476409	0.881414	0.854167	1.000000	0.992891	0.476608	0.914326	0.833333	1.000000	0.992868	0.476510	0.852306	0.869565	1.000000	0.992561	0.476175	0.909025	0.913043	1.000000	0.664456	0.134074	0.646545	0.369565	1.000000
SRR26033680	PRJNA1014965	U	0.990388	0.461059	0.908742	0.816327	1.000000	0.990394	0.460866	0.965426	0.877551	1.000000	0.990395	0.460995	0.880901	0.836735	1.000000	0.990392	0.461380	0.852546	0.854167	1.000000	0.990123	0.460465	0.936733	0.857143	1.000000	0.674848	0.137808	0.769486	0.395833	1.000000
SRR26033655	PRJNA1014965	U	0.993089	0.476590	0.906170	0.895833	1.000000	0.993120	0.476789	0.883911	0.895833	1.000000	0.993120	0.476723	0.889748	0.916667	1.000000	0.993063	0.476460	0.828363	0.854167	1.000000	0.992931	0.474892	0.758540	0.812500	1.000000	0.667328	0.133725	0.613024	0.361702	1.000000
SRR26033653	PRJNA1014965	U	0.990046	0.470330	0.975604	0.893617	1.000000	0.990140	0.469970	0.914334	0.895833	1.000000	0.990170	0.470264	0.850921	0.875000	1.000000	0.990174	0.470330	0.964658	0.895833	1.000000	0.989977	0.471083	0.946001	0.914894	1.000000	0.673495	0.130689	0.701484	0.434783	1.000000
